,ID,Tweet,Affect Dimension,Intensity Class,tweet_desc
0,2017-En-30153,@liamch88 yeah! :) playing well ,valence,0: neutral or mixed emotional state can be inferred,yeah happy playing well
1,2017-En-40929,At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society,valence,0: neutral or mixed emotional state can be inferred,least donot guy try discourage anymore want never become anything worth contribute society
2,2017-En-22012,UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!,valence,0: neutral or mixed emotional state can be inferred,uplift youare still discourage mean youare listen wrong voice amp look wrong source look lord
3,2017-En-30837,"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",valence,0: neutral or mixed emotional state can be inferred,age heyday blood tame
4,2017-En-30838,i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,valence,-2: moderately negative emotional state can be inferred,embarrassed saw u like knvfkkjg think weare stalker n start wave cheerfully invite u
5,2017-En-41019,"Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma",valence,-3: very negative emotional state can be inferred,really plan make video week tv die phone break truck die take iam wonder karma
6,2017-En-20210,I hate having ideas but being too afraid to share them 😔,valence,-3: very negative emotional state can be inferred,hate idea afraid share
7,2017-En-30568,"At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at",valence,1: slightly positive emotional state can be inferred,regular cheerfulness emotion supper give lady soon entirely
8,2017-En-41186,"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",valence,1: slightly positive emotional state can be inferred,pessimist see difficulty every opportunity optimist see opportunity every difficulty sir winston churchill
9,2017-En-41215,Just because I'm hurting \nDoesn't mean I'm hurt \nDoesn't mean I didn't get \nWhat I deserved \nNo better and no worse #lost  @coldplay,valence,-2: moderately negative emotional state can be inferred,iam hurt ndoesnot mean iam hurt ndoesnot mean didnot get nwhat deserve nno better no worse
10,2017-En-10358,@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,valence,-2: moderately negative emotional state can be inferred,cancel cbs access live feed jc even say vic win afp paul win imo
11,2017-En-30926,For what a beautiful day. ,valence,1: slightly positive emotional state can be inferred,beautiful day
12,2017-En-31186,We have been a better second half team this season. So there's that. ,valence,0: neutral or mixed emotional state can be inferred,better second half team season
13,2017-En-40689,"Back to forest drama -\nfrom my #Forest #music - series, 2016\n#nature #dark #art #photography #Finland",valence,0: neutral or mixed emotional state can be inferred,back forest drama nfrom series n
14,2017-En-41406,@rclemmons much #sadness and #heartbreak,valence,-3: very negative emotional state can be inferred,much
15,2017-En-21080,"I have learned over the years that when one's mind is made up, this diminishes fear. –Rosa Parks #quotes #motivation",valence,0: neutral or mixed emotional state can be inferred,learn year one mind make diminishes fear rosa park
16,2017-En-20939,"Walk right through them! See way past them, and don't even hesitate running them over.",valence,0: neutral or mixed emotional state can be inferred,walk right see way past donot even hesitate run
17,2017-En-31477,@crazace76 it looks cool and animated well for pixel art !,valence,2: moderately positive emotional state can be inferred,look cool animate well pixel art
18,2017-En-40928,Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial,valence,1: slightly positive emotional state can be inferred,social sharing dark amp web traffic come
19,2017-En-31349,"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",valence,2: moderately positive emotional state can be inferred,communitysleepcoach look make human amp find odd position seek
20,2017-En-30077,"now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay",valence,3: very positive emotional state can be inferred,future plan feel much happier
21,2017-En-30614,#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation,valence,1: slightly positive emotional state can be inferred,go doctor many level least go sleep watch live nation
22,2017-En-41038,"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",valence,0: neutral or mixed emotional state can be inferred,happy birthday lose
23,2017-En-41396,People too weak to follow their own dreams will always find a way to discourage yours.,valence,-2: moderately negative emotional state can be inferred,people weak follow dream always find way discourage
24,2017-En-41145,@bldmovs sadly beautiful photo.,valence,-2: moderately negative emotional state can be inferred,sadly beautiful photo
25,2017-En-20726,@SueWallace78 peanut butter???? You some kinda pervert?? ,valence,-2: moderately negative emotional state can be inferred,peanut butter kinda pervert
26,2017-En-10462,My baskets are better when I'm in a bad mood someone irritate me before practice please,valence,-2: moderately negative emotional state can be inferred,basket better iam bad mood someone irritate practice please
27,2017-En-30210,Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY,valence,1: slightly positive emotional state can be inferred,remember life blessing make joyful experience regardless odds gby
28,2017-En-10133,@ChurdAllan fucked my coupon that goal! ,valence,-1: slightly negative emotional state can be inferred,fuck coupon goal
29,2017-En-41412,It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.',valence,-3: very negative emotional state can be inferred,always depress sort wordpress plugin recommendation not best least offensive term premium feature
30,2017-En-31023,"@GreatDismal @Bencjacobs and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman",valence,0: neutral or mixed emotional state can be inferred,gleeful theyare inspire convinced theyare win last strongman
31,2017-En-30331,Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN,valence,1: slightly positive emotional state can be inferred,cater channel height technics hearty enjoyment symptomatize vrlfeyrn
32,2017-En-10512,@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,valence,0: neutral or mixed emotional state can be inferred,best revenge get good woman move leave hairline figure alone
33,2017-En-30789,@iamglenn35 the forth character? No... not gleeful enough...,valence,-1: slightly negative emotional state can be inferred,forth character no not gleeful enough
34,2017-En-21121,My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe,valence,0: neutral or mixed emotional state can be inferred,view human dynamic expression cosmos exist within
35,2017-En-31460,@homoaesthetics YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters,valence,1: slightly positive emotional state can be inferred,yesyesyes like jd closest cahracter similar blaine optimism ability crack tough character
36,2017-En-40579,"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",valence,0: neutral or mixed emotional state can be inferred,yeah figure ornament way wanted spektar desolate gear well think right
37,2017-En-30558,Hey NASCAR fans. Are you going to the race in Loudon this weekend?  Why not stop by New Day Diner for a great hearty breakfast before you go,valence,1: slightly positive emotional state can be inferred,hey nascar fan go race loudon weekend not stop new day diner great hearty breakfast go
38,2017-En-31379,Love your new show @driverminnie ,valence,1: slightly positive emotional state can be inferred,love new show
39,2017-En-30917,"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",valence,0: neutral or mixed emotional state can be inferred,oh almost odd cheerfulness big bos offer amuzzle flash blinding accidental guy become best friend
40,2017-En-31281,"@NFLonFOX @TheDoctorCarson @FOXSports Easy, breezy, beautiful...",valence,2: moderately positive emotional state can be inferred,easy breezy beautiful
41,2017-En-31189,Being in the countryside all day was so pleasing,valence,3: very positive emotional state can be inferred,countryside day pleasing
42,2017-En-30750,@bear_ing you asshole... you made me sexually attacked to a animated bear :-P,valence,-2: moderately negative emotional state can be inferred,asshole make sexually attack animate bear tong
43,2017-En-22058,@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,valence,-2: moderately negative emotional state can be inferred,theyare pretty awful look historically
44,2017-En-30420,@Corsair those sparkling looks like a gay vampire 😁,valence,1: slightly positive emotional state can be inferred,sparkling look like gay vampire
45,2017-En-20754,"What do Aquila, Ajahnae, and Euriechsa have in common besides ridiculously stupid,horrible,ugly, God awful names? Tracey IS NOT their father",valence,-2: moderately negative emotional state can be inferred,aquila ajahnae euriechsa common besides ridiculously stupid horrible ugly god awful name tracey not father
46,2017-En-31213,@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too ☺️,valence,2: moderately positive emotional state can be inferred,aww thank iam definitely feel much better today message cheer
47,2017-En-30226,"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.",valence,1: slightly positive emotional state can be inferred,shawty lo beef one underrated one hip hop history chock full wit bravado hilarity
48,2017-En-30475,And you as well! #sparkling @cherebork @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen,valence,1: slightly positive emotional state can be inferred,well
49,2017-En-21150,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,valence,-2: moderately negative emotional state can be inferred,ball watch amp rojowould header equally dreadful
50,2017-En-11457,For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote,valence,1: slightly positive emotional state can be inferred,every minute angry lose sixty second happiness ralph waldo emerson
51,2017-En-40386,@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later  #protest #PoliceShootings #suggestions,valence,0: neutral or mixed emotional state can be inferred,u fact u ask question later
